"Experiment"	"Batch"	"NREADS"	"NALIGNED"	"RALIGN"	"TOTAL_DUP"	"PRIMER"	"PCT_RIBOSOMAL_BASES"	"PCT_CODING_BASES"	"PCT_UTR_BASES"	"PCT_INTRONIC_BASES"	"PCT_INTERGENIC_BASES"	"PCT_MRNA_BASES"	"MEDIAN_CV_COVERAGE"	"MEDIAN_5PRIME_BIAS"	"MEDIAN_3PRIME_BIAS"	"CreER"	"ERCC_reads"
"OEL05_N720_S503"	"K5ERRY_UI_72HPT"	"Y04"	1650090	1532700	92.8862	63.8663	0.0322906	1e-06	0.187196	0.237139	0.276989	0.298675	0.424335	1.63999	0	0.59619	3568	203886
"OEL05_N716_S510"	"K5ERP63CKO_UI_96HPT"	"P01"	2109990	2032580	96.3312	54.2434	0.013722	0	0.292166	0.217961	0.331108	0.158765	0.510127	0.950896	0.072058	0.247686	1	15330
"OEL05_N719_S508"	"K5ERRY_UI_72HPT"	"Y04"	1192430	1110950	93.1667	54.3984	0.030894	0	0.23438	0.263148	0.239405	0.263068	0.497527	1.37308	0	0.5773	4864	99724
"OEL05_N716_S508"	"K5ERP63CKO_UI_96HPT"	"P01"	2608720	2512040	96.294	57.048	0.0143894	3e-06	0.308218	0.266726	0.28376	0.141294	0.574944	0.837155	0.075422	0.395856	4262	13612
"OEL05_N719_S510"	"K5ERRY_UI_72HPT"	"Y04"	1390050	1329160	95.6197	47.5834	0.0181015	1e-06	0.268225	0.232368	0.30554	0.193866	0.500593	0.893396	0.11323	0.359755	624	72764
"OEL05_N720_S502"	"K5ERRY_UI_72HPT"	"Y04"	1610960	1514140	93.9901	58.7952	0.0230799	0	0.202378	0.214292	0.345479	0.237852	0.41667	1.16451	0	0.342644	382	137071
"OEL05_N720_S506"	"K5ERRY_UI_72HPT"	"Y04"	1487920	1362980	91.6027	76.6048	0.0365835	1.6e-05	0.18213	0.220838	0.140288	0.456728	0.402968	1.6746	0	0.486211	1350	384309
"OEL05_N716_S511"	"K5ERP63CKO_UI_96HPT"	"P01"	1191420	1069060	89.7298	65.2873	0.0411897	0	0.154836	0.20551	0.313419	0.326235	0.360346	2.49702	0	0.394855	162	53474
"OEL05_N716_S505"	"K5ERP63CKO_UI_96HPT"	"P01"	2286700	2202080	96.2997	58.0674	0.0128721	0	0.231857	0.232522	0.385385	0.150237	0.464379	0.934841	0.048654	0.318947	3222	17947
"OEL05_N716_S507"	"K5ERP63CKO_UI_96HPT"	"P01"	2495020	2397580	96.0949	46.3542	0.0143005	1e-06	0.333692	0.286827	0.250764	0.128716	0.620519	0.671362	0.192754	0.403618	1	8002
"OEL05_N719_S502"	"K5ERRY_UI_72HPT"	"Y04"	1373400	1273310	92.7124	61.9775	0.0330868	4e-05	0.218346	0.230849	0.245087	0.305678	0.449196	1.51834	0	0.458355	5	157771
"OEL05_N716_S503"	"K5ERP63CKO_UI_96HPT"	"P01"	2056380	1961660	95.3938	60.4741	0.0131307	1e-06	0.365635	0.293068	0.204357	0.136939	0.658703	0.924658	0.091779	0.243719	12166	27497
"OEL05_N719_S506"	"K5ERRY_UI_72HPT"	"Y04"	1388490	1321890	95.2039	51.2219	0.0191661	0	0.299657	0.276598	0.185691	0.238054	0.576255	0.91036	0.073142	0.375474	1446	102293
"OEL05_N720_S505"	"K5ERRY_UI_72HPT"	"Y04"	1771890	1653800	93.3354	60.6794	0.0295862	0	0.268717	0.281015	0.213905	0.236363	0.549732	1.17362	0	0.534182	0	130392
"OEL05_N716_S506"	"K5ERP63CKO_UI_96HPT"	"P01"	806163	692252	85.87	86.1823	0.0369368	0	0.006643	0.01274	0.007942	0.972675	0.019383	2.59452	0	0.547098	1	110792
"OEL05_N719_S503"	"K5ERRY_UI_72HPT"	"Y04"	1308220	1230170	94.0339	47.5109	0.0251487	4.2e-05	0.204116	0.239456	0.363609	0.192777	0.443572	1.28753	0	0.39384	3212	72886
"OEL05_N716_S502"	"K5ERP63CKO_UI_96HPT"	"P01"	2123450	2045770	96.3418	52.022	0.014268	0	0.53916	0.275338	0.076269	0.109233	0.814498	0.696597	0.242914	0.224876	711	6302
"OEL05_N719_S507"	"K5ERRY_UI_72HPT"	"Y04"	1793040	1725840	96.252	58.0982	0.0144173	0	0.200087	0.184276	0.40035	0.215287	0.384363	1.13752	0	0.233852	7746	124836
"OEL12_N715_S513"	"K5ERP63CKO_UI_24HPT"	"P05"	1263130	1191110	94.2983	54.5776	0.0282493	0	0.234009	0.244734	0.324629	0.196629	0.478742	1.32066	0	0.285161	1164	70617
"OEL11_N719_S508"	"K5ERP63CKO_UI_96HPT"	"P03A"	885701	828344	93.5241	54.9473	0.0356551	0	0.261505	0.298399	0.222453	0.217643	0.559904	1.23589	0	0.435047	1390	69636
"OEL12_N707_S520"	"K5ERP63CKO_UI_24HPT"	"P04"	121237	97979	80.8161	82.9584	0.0679364	0	0.001785	0.001571	0.001772	0.994872	0.003356	0	0	0	0	96737
"OEL12_N701_S515"	"K5ERP63CKO_UI_96HPT"	"P03B"	1381800	1292480	93.5359	54.76	0.0343704	3e-06	0.283707	0.305157	0.197488	0.213645	0.588864	1.01007	0.02252	0.459602	31	68247
"OEL12_N704_S515"	"K5ERP63CKO_UI_96HPT"	"P03B"	1159980	1085950	93.6181	62.1186	0.0333863	0	0.273925	0.283762	0.175546	0.266767	0.557687	1.28077	0	0.458321	3562	107545
"OEL11_N721_S510"	"K5ERP63CKO_UI_96HPT"	"P03A"	868366	544019	62.6486	65.4673	0.229656	5e-06	0.327117	0.254238	0.057471	0.361169	0.581355	0.914388	0.096427	0.453751	161	88701
"OEL11_N716_S505"	"K5ERP63CKO_UI_96HPT"	"P03A"	797545	747232	93.6915	49.7529	0.0342913	3e-06	0.192896	0.237892	0.352373	0.216835	0.430788	1.30771	0	0.43099	9	43952
"OEL12_N711_S521"	"K5ERP63CKO_UI_24HPT"	"P05"	1458770	1376370	94.3513	54.9671	0.0282287	4e-06	0.266642	0.311529	0.238429	0.183396	0.578171	1.02442	0.015114	0.43593	1	57266
"OEL11_N720_S505"	"K5ERP63CKO_UI_96HPT"	"P03A"	664899	602840	90.6664	38.4008	0.0546278	0	0.42521	0.316034	0.046019	0.212737	0.741244	0.82536	0.16117	0.482506	138	45647
"OEL11_N721_S506"	"K5ERP63CKO_UI_96HPT"	"P03A"	792079	580530	73.2919	55.5087	0.168947	0	0.256888	0.280985	0.0516	0.410527	0.537873	1.07363	0	0.947185	131	107573
"OEL10_N724_S517"	"K5ERP63CKO_UI_48HPT"	"P02"	983268	936356	95.229	53.244	0.0166461	0	0.273638	0.279243	0.280905	0.166215	0.552881	1.34836	0	0.379082	103	10293
"OEL10_N727_S515"	"K5ERP63CKO_UI_48HPT"	"P02"	1179760	1146630	97.1922	33.1301	0.011112	7e-06	0.214124	0.238297	0.409958	0.137615	0.45242	0.880941	0.119353	0.357785	171	1490
"OEL12_N701_S516"	"K5ERP63CKO_UI_96HPT"	"P03B"	1097480	1010780	92.1005	61.4616	0.0441537	2e-06	0.279284	0.30866	0.131676	0.280378	0.587944	1.24684	0	0.544209	4681	101844
"OEL12_N707_S518"	"K5ERP63CKO_UI_24HPT"	"P04"	284781	260488	91.4696	37.0712	0.0455781	0	0.235412	0.326206	0.189106	0.249276	0.561618	1.12432	0	0.677326	16	20580
"OEL10_N729_S516"	"K5ERP63CKO_UI_96HPT"	"P03A"	711471	662859	93.1674	49.94	0.0340677	0	0.334524	0.364713	0.106841	0.193921	0.699237	1.12402	0	0.475402	0	45112
"OEL11_N726_S502"	"K5ERP63CKO_UI_96HPT"	"P03A"	1036970	972521	93.7852	56.0353	0.032686	4e-06	0.243756	0.31859	0.283014	0.154635	0.562347	1.43004	0	0.318189	1119	31
"OEL11_N723_S505"	"K5ERP63CKO_UI_96HPT"	"P03A"	795933	742526	93.29	52.9744	0.0392643	4e-06	0.304201	0.378123	0.185612	0.13206	0.682324	1.31976	0	0.496736	136	30
"OEL12_N711_S513"	"K5ERP63CKO_UI_24HPT"	"P04"	1449250	1362020	93.9812	55.5923	0.0312983	9e-06	0.288971	0.356395	0.158639	0.195986	0.645366	0.963224	0.002026	0.508012	0	83275
"OEL11_N724_S511"	"K5ERP63CKO_UI_96HPT"	"P03A"	1097040	1030900	93.9711	56.2347	0.0314319	0	0.301946	0.321171	0.252251	0.124632	0.623117	1.32544	0	0.432028	245	37
"OEL11_N722_S510"	"K5ERP63CKO_UI_96HPT"	"P03A"	916315	861610	94.0299	52.5439	0.0300734	6e-06	0.271084	0.314752	0.267799	0.146359	0.585836	1.44864	0	0.397783	0	52
"OEL11_N727_S510"	"K5ERP63CKO_UI_96HPT"	"P03B"	1009120	938278	92.9795	58.0378	0.0369215	0	0.317183	0.38438	0.166841	0.131596	0.701563	1.48953	0	0.53983	4213	40
"OEL11_N729_S503"	"K5ERP63CKO_UI_96HPT"	"P03B"	1009500	941680	93.2815	35.6197	0.0313867	0	0.190183	0.236258	0.43386	0.139699	0.426441	1.34394	0	0.505588	0	41
"OEL12_N706_S521"	"K5ERP63CKO_UI_24HPT"	"P04"	895397	856016	95.6018	42.8625	0.0216224	0	0.202166	0.217385	0.409965	0.170484	0.419551	1.15397	0	0.452068	1578	32484
"OEL10_N728_S520"	"K5ERP63CKO_UI_48HPT"	"P02"	1364190	1313480	96.2826	43.0406	0.0166623	0	0.197197	0.246427	0.40068	0.155696	0.443624	0.94133	0.047699	0.435939	2512	4146
"OEL10_N722_S513"	"K5ERP63CKO_UI_48HPT"	"P02"	882078	855664	97.0055	34.7561	0.0117837	2e-06	0.198715	0.204127	0.467142	0.130015	0.402842	1.06901	0.002976	0.345497	31	2696
"OEL11_N718_S511"	"K5ERP63CKO_UI_96HPT"	"P03A"	775717	722862	93.1863	58.6841	0.032694	0	0.415941	0.34244	0.043952	0.197667	0.758381	1.11769	0	0.531212	3	61884
"OEL10_N726_S517"	"K5ERP63CKO_UI_48HPT"	"P02"	1293280	1256500	97.1565	37.2685	0.00925549	0	0.21731	0.245762	0.40934	0.127588	0.463072	0.917375	0.074907	0.279151	2	3193
"OEL11_N727_S506"	"K5ERP63CKO_UI_96HPT"	"P03B"	1081680	1014660	93.8038	39.3835	0.0323081	1.2e-05	0.164133	0.262642	0.425484	0.14773	0.426775	1.13055	0	0.650973	86	23
"OEL11_N722_S506"	"K5ERP63CKO_UI_96HPT"	"P03A"	922752	861509	93.363	53.6302	0.0347478	0	0.284658	0.294789	0.274362	0.146191	0.579447	1.40522	0	0.426354	114	35
"OEL10_N723_S520"	"K5ERP63CKO_UI_48HPT"	"P02"	287412	273398	95.1241	23.5055	0.0238538	0	0.117386	0.239234	0.49254	0.150839	0.35662	1.1506	0	0.611111	96	1159
"OEL10_N729_S521"	"K5ERP63CKO_UI_96HPT"	"P03A"	314646	274221	87.1522	87.4633	0.052636	0	0.004159	0.003927	0.00348	0.988434	0.008086	3.59719	0	0	0	236712
"OEL12_N710_S516"	"K5ERP63CKO_UI_24HPT"	"P04"	497527	453132	91.0769	53.7522	0.0480304	0	0.216339	0.298764	0.165385	0.319512	0.515103	1.37379	0	0.586622	1	57713
"OEL11_N721_S511"	"K5ERP63CKO_UI_96HPT"	"P03A"	1184200	887562	74.9505	61.6322	0.155489	2e-06	0.370027	0.267726	0.041827	0.320418	0.637753	0.792468	0.136916	0.508423	1	121372
"OEL10_N724_S518"	"K5ERP63CKO_UI_48HPT"	"P02"	855339	830163	97.0566	55.9036	0.010605	0	0.243517	0.321587	0.242082	0.192814	0.565104	1.43765	0	0.093259	3	10312
"OEL12_N702_S516"	"K5ERP63CKO_UI_96HPT"	"P03B"	6175	4795	77.6518	18.8701	0.0482542	0	0.212319	0.264927	0.283386	0.239368	0.477246	1.26151	0	1.56561	0	361
"OEL10_N727_S520"	"K5ERP63CKO_UI_48HPT"	"P02"	1611160	1553670	96.4314	46.667	0.0159387	1e-06	0.216513	0.243045	0.388215	0.152226	0.459558	0.908308	0.079777	0.386947	1059	3852
"OEL11_N729_S502"	"K5ERP63CKO_UI_96HPT"	"P03B"	1108740	1056430	95.2818	43.5481	0.0222086	2.4e-05	0.1823	0.234785	0.434298	0.148593	0.417085	1.37753	0	0.414286	3	43
"OEL10_N722_S521"	"K5ERP63CKO_UI_48HPT"	"P02"	949464	921440	97.0484	37.8851	0.0104025	0	0.17781	0.214414	0.426101	0.181674	0.392224	1.17594	0	0.30366	0	3728
"OEL12_N702_S515"	"K5ERP63CKO_UI_96HPT"	"P03B"	46908	40433	86.1964	24.233	0.0598497	0	0.217494	0.344409	0.141278	0.296819	0.561903	1.0927	0	0.690872	2	5381
"OEL12_N706_S522"	"K5ERP63CKO_UI_24HPT"	"P04"	898261	839167	93.4213	59.4386	0.0344307	5.3e-05	0.404895	0.31419	0.093008	0.187854	0.719085	1.15168	0	0.471904	3	58490
"OEL12_N710_S515"	"K5ERP63CKO_UI_24HPT"	"P04"	750684	713833	95.091	41.6591	0.0276128	2.9e-05	0.206775	0.221728	0.37811	0.193357	0.428504	1.15558	0	0.42507	0	29087
"OEL11_N729_S507"	"K5ERP63CKO_UI_96HPT"	"P03B"	1261090	1205190	95.5671	42.0548	0.0210011	1.3e-05	0.195673	0.306319	0.354807	0.143188	0.501992	1.01957	0	0.498532	4	20
"OEL12_N714_S518"	"K5ERP63CKO_UI_24HPT"	"P05"	1008030	949423	94.186	50.5964	0.0340287	0	0.228058	0.246684	0.324033	0.201226	0.474742	1.3717	0	0.338583	1722	62357
"OEL10_N723_S515"	"K5ERP63CKO_UI_48HPT"	"P02"	972311	944301	97.1192	32.7273	0.0110614	2.3e-05	0.223462	0.213084	0.399655	0.163776	0.436546	0.967212	0.030918	0.346793	897	2755
"OEL11_N726_S503"	"K5ERP63CKO_UI_96HPT"	"P03A"	1093630	1040950	95.1831	52.4379	0.0251813	2e-06	0.156507	0.218305	0.48823	0.136956	0.374811	1.64527	0	0.217983	0	41
"OEL10_N726_S518"	"K5ERP63CKO_UI_48HPT"	"P02"	1452740	1408640	96.9646	48.9084	0.0119366	3e-06	0.300112	0.26016	0.306666	0.133059	0.560272	0.883588	0.073825	0.29329	390	4386
"OEL11_N722_S511"	"K5ERP63CKO_UI_96HPT"	"P03A"	71375	32783	45.9306	66.5338	0.19887	0	0.043566	0.152088	0.057797	0.746549	0.195654	1.42887	0	0.448622	1	47
"OEL11_N727_S511"	"K5ERP63CKO_UI_96HPT"	"P03B"	1354030	1293190	95.5062	46.107	0.0189639	4.1e-05	0.165138	0.253	0.447174	0.134647	0.418138	1.29306	0	0.397019	2	42
"OEL11_N724_S510"	"K5ERP63CKO_UI_96HPT"	"P03A"	338882	273694	80.7638	62.8235	0.0951202	0	0.151657	0.288548	0.173893	0.385902	0.440205	2.23798	0	0.851423	685	28
"OEL10_N722_S516"	"K5ERP63CKO_UI_48HPT"	"P02"	914040	885711	96.9007	31.8614	0.0133906	0	0.305586	0.25154	0.302488	0.140385	0.557127	0.83068	0.131645	0.351838	286	1987
"OEL11_N718_S506"	"K5ERP63CKO_UI_96HPT"	"P03A"	642621	600663	93.4708	48.628	0.0357128	6e-06	0.197723	0.250017	0.329647	0.222607	0.44774	1.29588	0	0.410604	1125	39220
"OEL10_N728_S515"	"K5ERP63CKO_UI_48HPT"	"P02"	968939	936213	96.6225	35.4606	0.012186	0	0.23071	0.302005	0.325931	0.141354	0.532715	0.969632	0.007774	0.375188	9	3192
"OEL12_N715_S517"	"K5ERP63CKO_UI_24HPT"	"P05"	1452360	1384590	95.3343	47.4972	0.0219787	2e-06	0.214627	0.278856	0.329836	0.17668	0.493483	1.05895	0	0.442439	1	55640
"OEL12_N706_S517"	"K5ERP63CKO_UI_24HPT"	"P04"	625742	585367	93.5477	42.9962	0.0358214	0	0.224706	0.267189	0.301518	0.206588	0.491894	1.15877	0	0.528955	750	32990
"OEL11_N724_S506"	"K5ERP63CKO_UI_96HPT"	"P03A"	906906	848660	93.5775	57.5625	0.0348262	0	0.215747	0.269527	0.351943	0.162783	0.485274	1.56353	0	0.482194	483	18
"OEL12_N711_S522"	"K5ERP63CKO_UI_24HPT"	"P05"	1026960	977247	95.1597	43.3541	0.0252565	0	0.220033	0.282695	0.31592	0.181351	0.502729	1.03839	0	0.475564	0	33845
"OEL12_N714_S520"	"K5ERP63CKO_UI_24HPT"	"P05"	908778	850886	93.6297	51.8708	0.0354379	0	0.239957	0.25792	0.307244	0.194879	0.497877	1.39314	0	0.376037	1	57322
"OEL11_N718_S510"	"K5ERP63CKO_UI_96HPT"	"P03A"	796293	758918	95.3064	33.942	0.0234444	0	0.216176	0.236904	0.390563	0.156356	0.453081	0.986632	0.047301	0.374354	21	19512
"OEL11_N728_S508"	"K5ERP63CKO_UI_96HPT"	"P03B"	742624	669221	90.1157	55.3525	0.0492838	0	0.183105	0.312456	0.337312	0.167127	0.495561	2.01185	0	0.491882	0	43
"OEL12_N712_S522"	"K5ERP63CKO_UI_24HPT"	"P05"	986751	921086	93.3453	57.569	0.0347722	4e-06	0.272627	0.298878	0.194319	0.234173	0.571504	1.32241	0	0.414864	0	81196
"OEL11_N723_S507"	"K5ERP63CKO_UI_96HPT"	"P03A"	32386	1621	5.00525	77.7247	0.246127	0	0.103976	0.148099	0.297629	0.450296	0.252075	0	0	0	1	22
"OEL11_N727_S508"	"K5ERP63CKO_UI_96HPT"	"P03B"	833426	758958	91.0648	48.8423	0.0468659	0	0.171693	0.302339	0.35886	0.167108	0.474032	1.90244	0	0.585092	0	34
"OEL11_N722_S508"	"K5ERP63CKO_UI_96HPT"	"P03A"	1081860	1033590	95.5377	49.381	0.0237385	1e-06	0.136604	0.175632	0.49295	0.194812	0.312237	1.61607	0	0.228112	0	52
"OEL10_N727_S518"	"K5ERP63CKO_UI_48HPT"	"P02"	1615150	1563860	96.8243	49.4982	0.0121954	0	0.430488	0.350427	0.114082	0.105003	0.780915	0.708754	0.19892	0.339659	214	3072
"OEL10_N724_S520"	"K5ERP63CKO_UI_48HPT"	"P02"	639289	617481	96.5887	28.7447	0.0165963	0	0.223111	0.258585	0.374257	0.144048	0.481695	0.981935	0.008483	0.468329	71	932
"OEL11_N723_S502"	"K5ERP63CKO_UI_96HPT"	"P03A"	34884	2155	6.17762	77.5783	0.281133	0	0.122122	0.118448	0.233113	0.526318	0.240569	0	0	0	0	26
"OEL11_N728_S511"	"K5ERP63CKO_UI_96HPT"	"P03B"	1136050	1079780	95.0466	40.1838	0.0186491	0	0.190687	0.248057	0.410974	0.150283	0.438744	1.14702	0	0.323971	0	42
"OEL12_N703_S513"	"K5ERP63CKO_UI_96HPT"	"P03B"	1340940	1271240	94.8026	46.607	0.0249918	0	0.204835	0.261568	0.336913	0.196684	0.466403	1.12938	0	0.459479	0	60585
"OEL10_N729_S522"	"K5ERP63CKO_UI_96HPT"	"P03A"	385323	357684	92.8271	41.5309	0.0361857	2e-05	0.437193	0.26763	0.12142	0.173737	0.704822	1.05343	0.101372	0.253989	181	15853
"OEL12_N712_S517"	"K5ERP63CKO_UI_24HPT"	"P05"	1113540	1044200	93.7721	51.1484	0.0334303	0	0.285392	0.287252	0.248853	0.178503	0.572644	1.05362	0.002171	0.444622	3952	52547
"OEL11_N721_S508"	"K5ERP63CKO_UI_96HPT"	"P03A"	935532	839091	89.6913	45.9065	0.0586276	0	0.385503	0.320681	0.06535	0.228467	0.706183	0.800592	0.157935	0.543096	128	79283
"OEL11_N719_S510"	"K5ERP63CKO_UI_96HPT"	"P03A"	762135	724790	95.0999	45.7962	0.0281465	0	0.168794	0.208109	0.436674	0.186422	0.376904	1.18554	0	0.446452	329	39326
"OEL12_N707_S515"	"K5ERP63CKO_UI_24HPT"	"P04"	409863	381113	92.9855	35.8401	0.0402403	3e-06	0.175345	0.276903	0.32666	0.221089	0.452248	1.13964	0	0.609498	591	23181
"OEL11_N726_S505"	"K5ERP63CKO_UI_96HPT"	"P03A"	1011130	955990	94.5464	43.9269	0.0267801	0	0.192627	0.27283	0.396747	0.137796	0.465456	1.40175	0	0.427906	1	31
"OEL12_N701_S520"	"K5ERP63CKO_UI_96HPT"	"P03B"	1881720	1796960	95.4956	55.9891	0.0227007	1e-06	0.211386	0.214436	0.409287	0.164891	0.425822	1.07446	0.018446	0.407534	29	68382
"OEL11_N716_S507"	"K5ERP63CKO_UI_96HPT"	"P03A"	855465	801329	93.6717	54.0352	0.0348329	1.1e-05	0.276497	0.300104	0.180933	0.242454	0.576602	1.22875	0	0.415884	1167	63097
"OEL12_N703_S521"	"K5ERP63CKO_UI_96HPT"	"P03B"	903390	833146	92.2244	62.3281	0.0454754	0	0.230631	0.264994	0.15319	0.351185	0.495625	1.42079	0	0.457036	1	126966
"OEL11_N720_S502"	"K5ERP63CKO_UI_96HPT"	"P03A"	808957	737875	91.2131	72.3037	0.0435329	0	0.293155	0.272138	0.043518	0.391188	0.565293	1.42657	0	0.480754	0	189427
"OEL12_N701_S518"	"K5ERP63CKO_UI_96HPT"	"P03B"	1364730	1287730	94.3575	46.5211	0.026792	2e-06	0.210271	0.264136	0.330937	0.194654	0.474407	1.01136	0	0.410929	14	57909
"OEL10_N728_S517"	"K5ERP63CKO_UI_48HPT"	"P02"	1337230	1300600	97.2605	29.964	0.0126916	1.2e-05	0.233914	0.244518	0.372277	0.149279	0.478432	0.808895	0.146763	0.408095	316	1155
"OEL12_N707_S516"	"K5ERP63CKO_UI_24HPT"	"P04"	416113	392326	94.2835	34.2459	0.0307658	0	0.21597	0.240792	0.350872	0.192366	0.456762	1.063	0	0.539452	179	15827
"OEL11_N720_S507"	"K5ERP63CKO_UI_96HPT"	"P03A"	1006010	721157	71.6846	56.1957	0.179125	4e-06	0.438655	0.303353	0.043405	0.214583	0.742008	0.79951	0.168858	0.450184	355	51457
"OEL11_N716_S502"	"K5ERP63CKO_UI_96HPT"	"P03A"	1208720	1147870	94.9661	46.8695	0.0281231	0	0.363557	0.293652	0.156709	0.186083	0.657209	0.798227	0.128394	0.464853	599	28064
"OEL10_N723_S517"	"K5ERP63CKO_UI_48HPT"	"P02"	910880	877093	96.2907	39.0509	0.0151631	0	0.301238	0.323566	0.238065	0.137131	0.624804	0.961998	0.063383	0.338676	339	2610
"OEL11_N719_S506"	"K5ERP63CKO_UI_96HPT"	"P03A"	989695	940369	95.016	38.5139	0.0261532	9e-06	0.169855	0.25312	0.397543	0.179473	0.422975	1.10159	0	0.542996	1	34274
"OEL10_N726_S520"	"K5ERP63CKO_UI_48HPT"	"P02"	1245840	1202510	96.5216	36.3737	0.0188299	0	0.362583	0.347992	0.159284	0.130141	0.710574	0.737116	0.154862	0.426358	86	1607
"OEL11_N724_S508"	"K5ERP63CKO_UI_96HPT"	"P03A"	947712	896137	94.5579	48.3774	0.0300391	0	0.267056	0.303775	0.287802	0.141366	0.570832	1.10802	0.019214	0.426237	0	37
"OEL10_N727_S517"	"K5ERP63CKO_UI_48HPT"	"P02"	1247360	1208310	96.8689	53.493	0.0115332	4e-05	0.214394	0.228195	0.426949	0.130423	0.442589	1.29408	0	0.217104	1926	8027
"OEL10_N724_S515"	"K5ERP63CKO_UI_48HPT"	"P02"	1184240	1152270	97.2999	29.9809	0.00989322	1e-06	0.217398	0.230734	0.381729	0.170138	0.448132	0.882254	0.090736	0.312124	331	1313
"OEL11_N716_S503"	"K5ERP63CKO_UI_96HPT"	"P03A"	1027690	962911	93.6963	55.9452	0.0325986	0	0.286543	0.306765	0.181495	0.225196	0.593309	1.27932	0	0.458092	2949	79328
"OEL12_N703_S522"	"K5ERP63CKO_UI_96HPT"	"P03B"	728359	666157	91.46	74.8654	0.042541	0	0.252822	0.217676	0.014201	0.515301	0.470498	1.14643	0	0.436874	0	182814
"OEL11_N728_S506"	"K5ERP63CKO_UI_96HPT"	"P03B"	710917	636906	89.5894	46.0628	0.0470073	6.3e-05	0.169893	0.291753	0.366462	0.171828	0.461646	1.91459	0	0.720809	84	29
"OEL12_N714_S516"	"K5ERP63CKO_UI_24HPT"	"P05"	951897	897274	94.2617	54.4941	0.0341365	0	0.222068	0.261206	0.296142	0.220583	0.483274	1.20987	0	0.449812	417	75449
"OEL11_N720_S503"	"K5ERP63CKO_UI_96HPT"	"P03A"	955689	895831	93.7367	55.266	0.0364735	0	0.318811	0.310581	0.168253	0.202355	0.629393	1.09858	0	0.507123	1	55376
"OEL12_N712_S513"	"K5ERP63CKO_UI_24HPT"	"P05"	1163830	1092120	93.8381	57.9462	0.0341868	1e-06	0.270453	0.270281	0.233207	0.226057	0.540734	1.20677	0	0.467921	0	83500
"OEL11_N728_S510"	"K5ERP63CKO_UI_96HPT"	"P03B"	668322	610227	91.3073	45.342	0.0443328	9e-06	0.189934	0.302273	0.364063	0.143722	0.492206	1.84448	0	0.603398	445	39
"OEL12_N714_S515"	"K5ERP63CKO_UI_24HPT"	"P05"	943781	885137	93.7863	53.1738	0.0351691	4e-06	0.203779	0.2396	0.327956	0.22866	0.443379	1.27323	0	0.400913	495	67163
"OEL11_N718_S508"	"K5ERP63CKO_UI_96HPT"	"P03A"	930937	879909	94.5186	51.5354	0.0278067	0	0.224577	0.247798	0.304509	0.223117	0.472374	1.24963	0	0.40003	2068	54863
"OEL11_N723_S503"	"K5ERP63CKO_UI_96HPT"	"P03A"	34444	1318	3.8265	79.0336	0.237598	0	0.141705	0.158123	0.238056	0.462116	0.299828	0	0	0	0	35
"OEL10_N726_S515"	"K5ERP63CKO_UI_48HPT"	"P02"	1265600	1220350	96.4249	45.0601	0.0133835	3.5e-05	0.381676	0.322742	0.149211	0.146336	0.704418	0.799442	0.1088	0.375378	0	2598
"OEL12_N712_S521"	"K5ERP63CKO_UI_24HPT"	"P05"	1144520	1084270	94.7362	42.9836	0.0234472	2.8e-05	0.202005	0.251471	0.362191	0.184305	0.453475	1.01732	0	0.463525	0	41732
"OEL10_N728_S518"	"K5ERP63CKO_UI_48HPT"	"P02"	1224530	1194340	97.5347	33.4314	0.0106032	5e-06	0.21003	0.219858	0.420952	0.149155	0.429888	0.902877	0.142565	0.307383	0	2458
"OEL10_N723_S518"	"K5ERP63CKO_UI_48HPT"	"P02"	1366420	1317980	96.4545	51.1043	0.014484	1e-06	0.362029	0.324185	0.178953	0.134832	0.686214	0.776305	0.111788	0.387968	82	5781
"OEL11_N719_S511"	"K5ERP63CKO_UI_96HPT"	"P03A"	1115300	1046420	93.8244	56.6263	0.0303171	0	0.233253	0.266213	0.265264	0.23527	0.499466	1.3986	0	0.394371	724	87080
"OEL12_N703_S517"	"K5ERP63CKO_UI_96HPT"	"P03B"	1070060	1022800	95.5832	32.9308	0.020567	0	0.241625	0.256086	0.346496	0.155793	0.497711	0.869644	0.101882	0.435549	0	20788
"OEL12_N702_S518"	"K5ERP63CKO_UI_96HPT"	"P03B"	12211	9724	79.6331	18.4631	0.033202	0	0.155234	0.196683	0.446219	0.201864	0.351917	0.964599	0.8528	1.08977	17	577
"OEL12_N710_S518"	"K5ERP63CKO_UI_24HPT"	"P04"	756996	700275	92.5071	55.5479	0.0417988	1.1e-05	0.258605	0.30525	0.173302	0.262832	0.563855	1.41291	0	0.537213	1	70271
"OEL10_N722_S522"	"K5ERP63CKO_UI_48HPT"	"P02"	817477	781405	95.5874	43.8111	0.0208095	0	0.321441	0.315054	0.202675	0.160831	0.636494	0.965751	0.039376	0.435238	3251	3994
"OEL11_N729_S505"	"K5ERP63CKO_UI_96HPT"	"P03B"	532236	450671	84.675	50.4528	0.0862457	1.2e-05	0.116384	0.275663	0.404583	0.203358	0.392047	2.38941	0	1.54229	0	31
"OEL12_N710_S520"	"K5ERP63CKO_UI_24HPT"	"P04"	879386	808083	91.8917	57.8641	0.0443973	0	0.243007	0.270903	0.240459	0.245631	0.51391	1.4739	0	0.512929	1	77507
