"Experiment"	"Batch"	"NREADS"	"NALIGNED"	"RALIGN"	"TOTAL_DUP"	"PRIMER"	"PCT_RIBOSOMAL_BASES"	"PCT_CODING_BASES"	"PCT_UTR_BASES"	"PCT_INTRONIC_BASES"	"PCT_INTERGENIC_BASES"	"PCT_MRNA_BASES"	"MEDIAN_CV_COVERAGE"	"MEDIAN_5PRIME_BIAS"	"MEDIAN_3PRIME_BIAS"	"CreER"	"ERCC_reads"
"OEP01_N708_S502"	"K5ERRY_UI_96HPT"	"Y01"	3182300	3021920	94.9602	52.4837	0.0223484	0	0.263982	0.353617	0.240851	0.141551	0.617598	0.775462	0.092517	0.50507	1936	17076
"OEP01_N703_S505"	"K5ERRY_UI_96HPT"	"Y01"	2805290	2677300	95.4376	56.3036	0.0185811	0	0.205897	0.230121	0.429554	0.134428	0.436018	1.10571	0	0.383088	5974	11696
"OEP01_N704_S502"	"K5ERRY_UI_96HPT"	"Y01"	3565440	3348240	93.9081	58.7296	0.0310384	2e-06	0.289571	0.327445	0.208381	0.174601	0.617016	0.73697	0.105594	0.566114	2527	15459
"OEP01_N705_S508"	"K5ERRY_UI_96HPT"	"Y01"	3028510	2883960	95.2272	43.0359	0.0186826	3e-06	0.116845	0.179846	0.578991	0.124315	0.296691	0.903988	0.019	0.535748	999	5057
"OEP01_N703_S507"	"K5ERRY_UI_96HPT"	"Y01"	1220710	1087500	89.0875	58.5802	0.0439043	0	0.064527	0.132671	0.487454	0.315349	0.197198	2.56608	0	0.276308	1	19409
"OEP01_N702_S502"	"K5ERRY_UI_96HPT"	"Y01"	3783950	3620260	95.6741	44.1732	0.0166735	1e-06	0.188633	0.225806	0.461504	0.124056	0.414439	0.746122	0.086848	0.460545	2155	8603
"OEP01_N706_S503"	"K5ERRY_UI_96HPT"	"Y01"	3255460	3118130	95.7815	55.0155	0.0154753	0	0.214384	0.249406	0.389692	0.146518	0.46379	0.892095	0.038436	0.444795	2425	16930
"OEP01_N701_S503"	"K5ERRY_UI_96HPT"	"Y01"	3243360	3078360	94.9129	49.3517	0.0202238	0	0.257898	0.275824	0.323853	0.142425	0.533722	0.786577	0.0838	0.567962	5199	9870
"OEP01_N705_S503"	"K5ERRY_UI_96HPT"	"Y01"	2951120	2801710	94.9374	63.7046	0.0211258	2e-06	0.314271	0.294996	0.245348	0.145384	0.609267	1.03032	0.004243	0.470785	0	14236
"OEP01_N701_S507"	"K5ERRY_UI_96HPT"	"Y01"	1849360	1725530	93.3041	54.9754	0.025235	1e-06	0.223065	0.310938	0.286159	0.179837	0.534003	1.12712	0	0.552318	912	19782
"OEP01_N707_S501"	"K5ERRY_UI_96HPT"	"Y01"	2973120	2844140	95.6619	37.7785	0.0138076	1e-06	0.170233	0.189142	0.495708	0.144917	0.359375	0.727351	0.144789	0.527575	4139	3023
"OEP01_N703_S503"	"K5ERRY_UI_96HPT"	"Y01"	3043830	2903520	95.3905	67.5454	0.018452	0	0.304577	0.316266	0.244005	0.135151	0.620844	1.3899	0	0.265478	6084	59258
"OEP01_N708_S501"	"K5ERRY_UI_96HPT"	"Y01"	2931250	2796240	95.3944	51.6889	0.0175718	4e-06	0.332776	0.321266	0.200196	0.145758	0.654042	0.681061	0.145478	0.519972	1212	8720
"OEP01_N702_S504"	"K5ERRY_UI_96HPT"	"Y01"	3265630	3108740	95.1957	50.2192	0.0179761	0	0.286144	0.301384	0.280467	0.132005	0.587528	0.678529	0.13041	0.516269	11212	8384
"OEP01_N705_S507"	"K5ERRY_UI_96HPT"	"Y01"	143674	120968	84.1962	26.0327	0.0378411	0	0.113658	0.323975	0.376333	0.186035	0.437632	1.39397	0	0.895371	0	3408
"OEP01_N702_S506"	"K5ERRY_UI_96HPT"	"Y01"	3178030	3053990	96.0969	39.3468	0.0129531	0	0.164659	0.173923	0.497541	0.163877	0.338582	0.797072	0.124448	0.417116	1382	5566
"OEP01_N704_S501"	"K5ERRY_UI_96HPT"	"Y01"	2815020	2654140	94.2851	54.6221	0.0201972	2e-06	0.20118	0.235596	0.365359	0.197864	0.436775	1.02555	0	0.472384	3060	13677
"OEP01_N702_S503"	"K5ERRY_UI_96HPT"	"Y01"	3227750	3090350	95.7433	53.1088	0.0149032	0	0.202637	0.250509	0.404558	0.142296	0.453147	0.947649	0.023699	0.380189	2925	11213
"OEP01_N706_S502"	"K5ERRY_UI_96HPT"	"Y01"	3330590	3050430	91.5883	68.7675	0.0492427	0	0.271075	0.312332	0.211815	0.204778	0.583407	1.05661	0	0.513281	5334	34321
"OEP01_N707_S508"	"K5ERRY_UI_96HPT"	"Y01"	3177430	3003130	94.5143	41.135	0.0228887	0	0.169475	0.237724	0.455508	0.137292	0.407199	0.698253	0.118248	0.603437	188	4525
"OEP01_N701_S502"	"K5ERRY_UI_96HPT"	"Y01"	3270550	3083740	94.2882	69.5459	0.0268245	0	0.333348	0.381251	0.120391	0.165011	0.714599	0.907285	0.044429	0.516574	6	42064
"OEP01_N704_S508"	"K5ERRY_UI_96HPT"	"Y01"	2727650	2586580	94.8281	48.0009	0.0212	0	0.126295	0.184902	0.577899	0.110905	0.311196	0.992159	0	0.529222	449	8985
"OEP01_N705_S502"	"K5ERRY_UI_96HPT"	"Y01"	3041700	2844500	93.5168	65.2733	0.0312579	0	0.226677	0.298069	0.298296	0.176957	0.524746	1.29323	0	0.62046	552	23282
"OEP01_N703_S506"	"K5ERRY_UI_96HPT"	"Y01"	3776660	3624190	95.9628	45.2329	0.0158952	0	0.334373	0.327592	0.222845	0.11519	0.661965	0.646013	0.205106	0.468129	430	4782
"OEP01_N709_S502"	"K5ERRY_UI_96HPT"	"Y01"	3800570	3639780	95.7692	63.632	0.0172538	0	0.213411	0.248575	0.39665	0.141365	0.461986	1.00629	0.012074	0.495782	306	25918
"OEP01_N703_S504"	"K5ERRY_UI_96HPT"	"Y01"	2465300	2322500	94.2076	49.5415	0.0235637	0	0.157747	0.231413	0.445417	0.165423	0.38916	1.10707	0	0.491964	2	10943
"OEP01_N708_S508"	"K5ERRY_UI_96HPT"	"Y01"	1449380	1359240	93.7809	39.3768	0.0217451	0	0.276352	0.346881	0.218045	0.158722	0.623233	0.722174	0.079394	0.6136	496	5008
"OEP01_N704_S505"	"K5ERRY_UI_96HPT"	"Y01"	3186440	2969400	93.1887	75.6029	0.0357389	0	0.375954	0.338673	0.126026	0.159347	0.714627	1.14932	0	0.353382	506	49322
"OEP01_N705_S504"	"K5ERRY_UI_96HPT"	"Y01"	2804390	2655060	94.6751	65.9278	0.0216145	0	0.303754	0.368273	0.173004	0.154968	0.672028	1.01596	0.013688	0.468835	4938	35256
"OEP01_N703_S502"	"K5ERRY_UI_96HPT"	"Y01"	3230080	2940560	91.0367	66.8894	0.0527793	0	0.267375	0.334553	0.244495	0.153577	0.601928	1.17624	0	0.48429	47	28555
"OEP01_N705_S506"	"K5ERRY_UI_96HPT"	"Y01"	3565290	3419790	95.919	45.37	0.0146297	0	0.1827	0.196684	0.448636	0.171979	0.379384	0.783433	0.101892	0.473141	3370	5949
"OEP01_N702_S507"	"K5ERRY_UI_96HPT"	"Y01"	4489	3709	82.6242	3.41867	0.0332501	0	0.172628	0.238864	0.420852	0.167656	0.411492	0	0	0	7	17
"OEP01_N708_S505"	"K5ERRY_UI_96HPT"	"Y01"	3457460	3299220	95.4234	62.1789	0.0151049	0	0.230141	0.229194	0.395661	0.145005	0.459335	1.17174	0	0.296369	35	22991
"OEP01_N701_S506"	"K5ERRY_UI_96HPT"	"Y01"	3247460	3088420	95.1028	50.3157	0.0192589	0	0.339602	0.342668	0.202303	0.115427	0.68227	0.647639	0.189595	0.50303	6288	7713
"OEP01_N706_S504"	"K5ERRY_UI_96HPT"	"Y01"	3317080	3170170	95.5711	34.7267	0.016569	1e-06	0.185156	0.221086	0.446451	0.147306	0.406242	0.668191	0.13685	0.541933	2768	2065
"OEP01_N707_S505"	"K5ERRY_UI_96HPT"	"Y01"	2985690	2837210	95.0269	66.444	0.0202422	0	0.350741	0.342753	0.143513	0.162993	0.693494	0.884055	0.066011	0.503543	0	25805
"OEP01_N701_S504"	"K5ERRY_UI_96HPT"	"Y01"	3130040	2986600	95.4172	40.5719	0.0166131	0	0.143612	0.198665	0.50436	0.153364	0.342277	0.846006	0.061191	0.522364	2222	7035
"OEP01_N706_S506"	"K5ERRY_UI_96HPT"	"Y01"	2723030	2569810	94.3731	70.9765	0.0194941	0	0.285133	0.303835	0.25885	0.152182	0.588968	1.35518	0	0.38881	199	60258
"JNRF04_N726_S516"	"K5ERRY_UI_72HPT"	"Y04"	699353	665947	95.2233	46.2109	0.0220315	0	0.162207	0.203227	0.358949	0.275617	0.365434	1.28718	0	0.338302	1824	69722
"JNRF03_N711_S502"	"K5ERP63CKO_UI_96HPT"	"P01"	48302	36965	76.5289	72.1582	0.072895	0	0.005254	0.022165	0.017774	0.954807	0.027419	2.80964	0	2.21375	0	35927
"JNRF04_N728_S522"	"K5ERRY_UI_72HPT"	"Y04"	756990	709586	93.7378	43.7684	0.0282027	6e-06	0.211634	0.2708	0.28102	0.236539	0.482435	1.34329	0	0.483221	15	61213
"JNRF03_N714_S503"	"K5ERP63CKO_UI_96HPT"	"P01"	948664	920637	97.0456	28.8361	0.0132216	0	0.281465	0.242868	0.358758	0.11691	0.524333	0.791412	0.114997	0.34891	0	4020
"JNRF04_N729_S517"	"K5ERRY_UI_72HPT"	"Y04"	793158	758454	95.6246	43.6519	0.0199577	2e-06	0.184056	0.205637	0.3824	0.227905	0.389694	1.10677	0	0.382561	283	60277
"JNRF04_N726_S521"	"K5ERRY_UI_72HPT"	"Y04"	798878	762142	95.4016	45.8192	0.0226842	0	0.199061	0.233285	0.336976	0.230678	0.432346	1.27257	0	0.273052	1958	58192
"JNRF04_N726_S513"	"K5ERRY_UI_72HPT"	"Y04"	793137	747434	94.2377	62.2695	0.0272134	0	0.289541	0.250352	0.078587	0.38152	0.539893	1.09193	0	0.324232	1627	131381
"JNRF03_N714_S507"	"K5ERP63CKO_UI_96HPT"	"P01"	800598	769281	96.0883	47.2784	0.0175801	0	0.332571	0.306364	0.223058	0.138007	0.638934	1.0638	0	0.322924	2543	10793
"JNRF04_N729_S518"	"K5ERRY_UI_72HPT"	"Y04"	688406	656242	95.3278	46.2166	0.0208875	0	0.160277	0.206657	0.358	0.275066	0.366934	1.44206	0	0.425853	1981	65601
"JNRF03_N712_S510"	"K5ERP63CKO_UI_96HPT"	"P01"	886335	858815	96.8951	38.2221	0.0130038	0	0.244316	0.227883	0.386279	0.141522	0.472199	1.10076	0	0.244158	0	7302
"JNRF04_N727_S522"	"K5ERRY_UI_72HPT"	"Y04"	836113	798946	95.5548	40.3351	0.0194842	0	0.168502	0.198374	0.419017	0.214107	0.366876	1.31476	0	0.381776	818	43557
"JNRF03_N711_S506"	"K5ERP63CKO_UI_96HPT"	"P01"	923320	895445	96.981	25.6074	0.0136397	2e-06	0.335763	0.261283	0.281644	0.121307	0.597046	0.722204	0.160557	0.374205	0	2582
"JNRF03_N712_S508"	"K5ERP63CKO_UI_96HPT"	"P01"	884724	852315	96.3368	39.767	0.0146075	0	0.374409	0.305788	0.196298	0.123504	0.680197	0.850939	0.063466	0.423031	1	8400
"JNRF04_N726_S522"	"K5ERRY_UI_72HPT"	"Y04"	734199	696807	94.9071	43.3961	0.0270321	0	0.17906	0.195087	0.404441	0.221412	0.374147	1.21123	0	0.364764	461	52918
"JNRF03_N711_S503"	"K5ERP63CKO_UI_96HPT"	"P01"	673157	646499	96.0399	43.5566	0.0170538	2e-06	0.349931	0.332689	0.16939	0.147987	0.682621	0.876152	0.071518	0.36674	970	9579
"JNRF04_N728_S516"	"K5ERRY_UI_72HPT"	"Y04"	769415	735666	95.6137	37.6271	0.0203287	2e-06	0.221458	0.246766	0.303174	0.2286	0.468224	1.05675	0.020096	0.39159	225	43636
"JNRF04_N724_S522"	"K5ERRY_UI_72HPT"	"Y04"	838452	805666	96.0897	38.4514	0.0177665	0	0.187033	0.21014	0.396417	0.20641	0.397173	1.01821	0.047343	0.331859	1058	50755
"JNRF04_N727_S513"	"K5ERRY_UI_72HPT"	"Y04"	870040	838238	96.3448	41.2348	0.0167206	2e-06	0.19785	0.210479	0.372899	0.21877	0.408329	1.10698	0	0.354906	1283	55033
"JNRF04_N728_S521"	"K5ERRY_UI_72HPT"	"Y04"	948438	915258	96.5016	33.759	0.0146083	0	0.197222	0.226118	0.394159	0.182501	0.42334	0.93659	0	0.384335	3082	33750
